text,sentiment
"#ChampionsLeague Does yellow card for dissent not apply to Barcelona superstars? Very unsporting.  
",negative
"#Leicester 1-1 #AtleticoMadrid: Solid Spaniards too good for Foxes https://t.co/sFtVQwojX9 
",positive
"#UEFA has a serious refereeing problem. 
",negative
"Group A #Basel 1 - 2 #PSG #LudogoretsRazgrad 2 - 3 #Arsenal Group B #Besiktas 1 - 1 #SSCNapoli #Benfica 1 - 0 #DynamoKyiv #UCL 
",neutral
"Angus on the bench tonight for #ManCity vs #FCBarcelona . The #MrGunny1963 household must be so incredibly proud… https://t.co/6rc8oai0JT 
",neutral
"The Pep Monster ???  #Messi #FCB #FCBarcelona https://t.co/dZ23ku86TL 
",neutral
"Final: #Grupo1 #Basel 1-2 #PSG. #ChampionsLeague 
",neutral
"""What a nite! ????? ? Thanks @ManCity Winning against MSN best trio in d world #FCBarcelona is a great achievement! https://t.co/OMnTURFysD ""
",positive
"#Messi #FCBarcelona Barcelona Shirt Signed By Lionel Messi:  150.00 (0 Bids)End Date: ... https://t.co/jx79h3eimq #Barca #MsQueUnClub 
",neutral
"""Nicholas: Arsenal have swagger...and more depth than Barcelona Real Madrid...#Arsenal #AFC #FCBarcelona #RealMadrid https://t.co/EMRl7lyEwz ""
",negative
"Going back to base! ??? #TeamDuterte #OSAP #PSG #PAF… https://t.co/3E8vWikrhi 
",neutral
"The latest El diario*Vladimir Lillo Mardones* ! https://t.co/r7CyHLPW3u Thanks to @HankKraychir #perunews #championsxfox 
",positive
"""Let's eat this #bananasplit and watch the recorded #fcbarcelona game  maybe they'll end up… https://t.co/NsLN7OK0WL ""
",neutral
"""Wow Man City with the victory over Barcelona today—love the #UCL and the level of competition it brings!  Glad to see #PSG won today too. ""
",positive
"Mbappe what a talent. Sounds like  a drug name though  #ucl 
",positive
"MBAPPE what a player ..........my favorite #UCL 
",neutral
"""If that hit on #Messi was not a foul and #Neymar  protesting for the purpose was misconduct think #referee was doing something wrong. #uefa ""
",negative
"I am just so Pissed I don't know why. May be coz my team is going out of #UCL 
",negative
"""Alves should have got a yellow for that challenge on Messi. Good on Messi for manning up and getting on with the game but #ItsTime #UCL ""
",neutral
"While it's true that Jardim has been fortunate to have future generational talents in B. Silva and Mbappe at his disposal...1/2 #UCL 
",positive
"HALF TIME! @AS_Monaco leads 2-0 after 45 minutes! #UCL #ASMBVB https://t.co/D8HwERpyE2 
",neutral
"""Halftime at the Camp nou! It a stalemate Juventus carrying out the italian job in catalona #Ucl #FCBJuve ""
",neutral
"The only Squad that can win the game for Barcelona ??????? #UCL #BarcaJuventus #barcajuve https://t.co/aQfJmrSOLC 
",neutral
"Should I say #Juventus parked the Bus or that'llbe an. Understatement? #BARJUV #UCL 
",neutral
"Have you ever watched a football match with an Aboki? Damn those pple scream GOAL even b4 the through pass... #ucl #barcajuve 
",negative
"#Juventus sticking to the same style that won them 3-0 
",neutral
"""So far the Referee is good! #Bar?aJuve #UCL :D ""
",positive
"Hasil Pertandingan Group A  #Basel vs #PSG 1- 2 #Ludogorets vs #Arsenal 2 - 3   #OZSORESANTAI https://t.co/PuDaC9Pp3G 
",neutral
"Messi during the match He played an excellent first half #FCBarcelona #LionelMessi #CityFCB #Fcblive https://t.co/GWYvRedUBG 
",positive
"Ilkay Gundogan scores the third goal against Barcelona @cairnduff11 #ilkaygndogan #fcbarcelona… https://t.co/8d6zvJadbQ 
",positive
"Mes que un crying...#UCL #FCBJuve 
",neutral
"""Even if the team is knocked out it shouldn't be without out a proper fight. A fight until the final whistle!!   #For?aBar?a #UCL #FCBJuve ""
",neutral
