,player_x,Pos,sf_id,wg_avg_mp,wg_avg_min,wg_avg_gls,wg_avg_asst,wg_avg_gls_asst,wg_avg_value,wg_avg_ovrl,wg_avg_pot,wg_avg_pac,wg_avg_sho,wg_avg_pas,wg_avg_dri,wg_avg_def,wg_avg_phy,wg_avg_titles,wg_avg_num_titles,wg_avg_views_titles,wg_avg_comments,wg_avg_num_comments,target
0,jack hobbs,DF,165219,15.18,1340.28,0.23,-3.53,-3.29,816667.11,47.85,50.66,43.78,24.50,36.79,34.30,47.16,52.74,0.89,14.38,142886.57,0.54,51.36,0
1,chris maguire,"FW,MF",167841,13.84,792.72,4.36,5.29,5.25,291666.58,46.23,48.09,53.26,46.98,44.85,47.35,21.00,44.46,1.01,29.02,1097216.36,0.69,124.62,0
2,ismael bangoura,DF,168984,-3.29,22.35,0.00,0.00,0.00,70000.25,47.30,47.30,51.26,47.30,36.35,46.64,20.71,40.03,0.84,7.93,25245.81,1.34,4.27,0
3,sam hutchinson,"DF,MF",169708,7.69,376.38,-3.76,0.00,-3.76,210001.04,45.05,49.90,49.97,34.37,41.85,44.13,45.99,45.63,0.99,26.99,125060.60,1.19,90.94,0
4,liam bridcutt,"DF,MF",169710,15.62,1242.24,0.00,0.92,0.92,2041667.42,50.41,53.67,48.99,31.29,46.69,50.22,49.48,54.38,0.44,7.72,55813.47,0.86,14.27,0
5,connor smith,MF,169793,-1.71,161.41,0.00,0.23,0.23,175000.00,42.69,48.82,46.90,37.80,39.90,45.72,30.16,38.60,0.78,27.16,197664.85,0.94,52.09,0
6,theo robinson,FW,170072,16.05,858.80,2.63,0.00,2.63,373332.67,44.77,48.47,62.78,45.25,36.40,41.96,24.50,44.10,0.82,25.34,980700.40,0.83,121.33,0
7,mark little,DF,170078,26.77,2214.03,0.70,2.83,3.12,314999.81,44.83,47.39,58.41,22.04,40.15,44.14,42.04,47.81,0.70,28.87,12341944.81,0.68,546.68,0
8,lewis mcgugan,MF,170163,14.94,1004.72,-1.59,-2.96,-0.15,933333.68,48.33,50.85,49.28,49.69,48.57,49.21,34.17,45.29,0.90,25.61,320023.75,0.89,115.66,0
9,brendan moloney,DF,170164,18.49,1443.96,0.00,2.11,2.11,268332.89,45.24,47.99,49.49,26.41,41.77,42.74,45.68,48.09,0.84,11.20,13680.63,1.31,26.61,0
10,jonathan parr,DF,170472,19.42,1374.06,5.06,-0.01,1.40,1050000.00,47.81,50.12,52.69,42.70,43.15,47.11,46.65,51.10,0.98,12.81,62416.74,1.00,91.46,0
11,anthony wordsworth,MF,171620,5.91,232.22,0.70,0.00,0.70,175000.00,44.80,47.60,40.54,46.20,50.36,40.92,28.00,36.88,0.84,9.86,20213.82,1.11,9.64,0
12,eggert jónsson,"DF,MF",172398,4.86,127.50,0.00,0.00,0.00,408332.98,44.58,48.05,44.53,39.20,41.99,41.71,45.97,48.37,0.34,-3.76,562.56,0.59,56.48,0
13,lee tomlin,"FW,MF",172904,24.03,1821.26,4.98,5.69,10.83,1866667.75,46.68,50.82,51.80,48.08,42.35,47.86,23.10,48.82,0.79,28.04,559353.89,0.85,93.75,0
14,nicola ravaglia,GK,173165,6.98,567.46,0.00,0.00,0.00,163332.98,7.57,8.67,7.13,7.57,5.81,8.67,0.07,7.79,0.78,25.10,14925.50,1.42,2.33,0
15,lewin nyatanga,DF,173346,18.48,1541.96,2.42,5.29,3.41,443332.79,45.02,46.42,49.00,19.00,30.25,37.72,45.72,49.00,1.07,4.77,8094.18,1.25,44.95,0
16,darcy blake,"DF,MF",173454,-1.78,322.60,0.00,0.00,0.00,291650.97,23.19,25.00,22.23,13.72,20.02,21.36,22.73,25.00,0.70,1.30,544.58,1.78,26.77,0
17,sone aluko,"FW,MF",173530,15.24,949.77,0.54,-3.54,1.67,1983333.33,48.82,52.97,61.81,48.34,48.56,53.47,24.29,38.05,0.95,25.49,418401.56,0.92,158.14,0
18,david button,GK,173533,23.62,1935.36,0.00,0.00,0.00,676667.87,44.11,47.13,48.05,39.51,40.82,47.35,42.16,43.40,0.78,26.54,1511412.54,0.91,397.68,0
19,james wilson,DF,173734,13.56,1032.43,4.23,0.00,4.23,175000.00,44.57,46.64,45.79,20.30,34.30,39.20,45.02,47.86,0.80,27.00,4678754.56,0.85,516.10,0
20,neal eardley,DF,173834,4.06,507.52,0.00,-4.12,-4.12,699999.56,47.06,49.58,53.41,41.75,46.61,45.71,44.94,50.54,0.60,5.75,17006.78,0.68,15.68,0
21,sam baldock,"FW,MF",173859,17.52,1500.65,1.95,-3.19,3.20,1400000.00,47.12,52.01,58.33,47.82,34.30,47.56,22.40,43.65,0.77,25.23,198588.97,0.93,78.72,0
22,sunny,MF,174382,15.55,1215.72,-3.76,4.23,0.47,700000.00,8.89,9.33,8.67,5.16,7.35,6.91,7.79,10.22,0.77,21.41,228019.26,1.16,62.13,0
23,david goodwillie,FW,175367,5.68,265.53,5.64,-3.76,1.88,664999.40,47.37,49.91,58.15,47.35,43.58,47.85,20.49,48.60,1.23,27.02,310068.95,1.02,397.47,0
24,ritchie de laet,DF,175932,23.64,1920.77,-3.29,1.17,1.27,1516667.11,47.87,51.76,60.90,29.40,38.58,45.10,47.88,50.40,0.89,9.54,82020.42,0.57,31.24,0
25,lukas jutkiewicz,FW,176841,16.60,852.45,-3.69,1.50,2.65,933332.98,48.30,51.52,52.50,47.60,36.00,45.99,25.20,50.87,0.87,27.68,188171.65,0.86,96.52,0
26,frederic nimani,FW,177310,1.28,113.43,0.00,0.00,0.00,69999.40,7.79,8.01,8.89,7.35,5.60,6.25,0.69,7.13,1.33,3.87,7709.65,1.11,3.91,0
27,david n'gog,FW,177576,17.65,1069.69,4.08,0.01,5.18,1446666.47,48.73,51.05,55.20,46.86,43.44,49.00,23.54,49.70,0.88,22.97,127626.56,1.25,98.23,0
28,josh wright,MF,177618,13.00,914.95,5.06,-3.76,1.30,175000.00,45.71,48.47,42.23,41.30,46.16,47.82,35.00,46.20,0.93,27.64,325726.96,0.85,56.52,0
29,manuel junglas,"FW,MF",177634,16.16,1012.50,1.17,-3.06,1.50,431666.89,45.06,47.63,47.60,41.37,44.36,44.81,42.09,50.90,0.69,11.93,46199.18,1.21,17.88,0
30,matteo mandorlini,MF,177804,14.38,720.32,0.00,-3.76,-3.76,93332.98,22.06,24.78,24.33,15.30,20.92,22.05,14.61,23.21,0.69,33.13,207461.16,0.35,33.86,0
31,mario vrancic,MF,177896,21.62,1688.91,2.01,1.71,5.03,991667.52,47.17,50.19,42.41,43.92,46.95,49.52,29.09,45.84,0.70,14.02,107913.14,0.99,85.91,0
32,lorenzo pasqualini,DF,177962,2.64,775.59,0.00,-4.14,-4.14,268332.98,6.47,8.01,9.55,3.43,5.38,6.47,5.81,7.57,0.70,3.14,13344.55,0.84,32.55,0
33,lucas deaux,MF,178051,24.06,1776.91,0.23,-3.53,-3.29,1633334.28,49.33,52.29,48.18,34.08,44.23,45.36,45.88,57.43,0.68,14.38,315816.43,0.73,211.56,0
34,stefano okaka,FW,178091,16.65,1084.12,2.08,0.93,3.15,3033334.86,50.24,54.17,52.76,48.63,36.80,48.83,20.07,54.37,0.89,26.86,370558.17,0.92,42.04,0
35,scott arfield,MF,178287,24.52,1860.18,3.16,5.76,4.93,1166668.06,46.99,48.82,49.96,44.15,45.14,49.27,41.37,46.90,0.75,24.09,228363.23,0.85,39.51,0
36,alberto pelagotti,GK,178452,2.80,249.24,0.00,0.00,0.00,186666.51,45.05,48.51,43.65,44.35,42.25,47.85,28.00,45.05,0.70,13.94,17654.68,0.95,5.00,0
37,tommaso bianchi,MF,178513,21.27,1659.41,-3.56,0.10,0.79,746666.51,46.03,49.95,47.31,35.50,45.32,45.10,40.50,51.99,0.70,20.71,567688.17,0.91,16.42,0
38,simon church,FW,178585,15.23,825.39,2.00,0.93,2.68,466666.32,45.71,48.00,50.40,44.31,41.30,44.10,27.30,47.15,0.84,27.65,133917.32,0.90,96.79,0
39,keith treacy,MF,178593,12.41,443.75,0.93,0.00,0.93,338317.64,46.19,48.26,54.08,46.37,44.33,46.21,21.26,48.04,0.25,3.29,6854.13,0.96,42.33,0
40,fernando forestieri,"FW,MF",178628,18.53,1074.63,4.26,3.03,7.85,1470000.60,47.15,51.77,55.52,45.27,46.25,54.88,22.26,38.67,0.78,25.57,351877.69,0.99,117.51,0
41,liam trotter,MF,178713,15.28,1205.79,0.79,0.69,2.67,1131666.26,48.02,50.56,48.48,43.85,46.64,46.61,42.22,53.89,0.98,21.79,187829.60,0.73,57.61,0
42,ola kamara,"FW,MF",179551,8.56,443.58,7.03,4.46,8.09,606667.02,47.15,49.96,58.56,45.54,35.70,45.05,21.09,48.75,0.62,15.12,88376.60,1.15,48.36,0
43,tommy rowe,"DF,MF",179663,17.45,1471.26,-2.58,-3.56,-1.46,314999.40,44.37,46.65,52.28,37.78,42.74,45.28,42.29,42.70,0.84,15.44,41534.03,0.73,37.88,0
44,joris sainati,DF,179725,9.79,1000.15,0.00,0.00,0.00,244999.75,42.35,46.24,43.16,21.00,36.02,31.35,42.55,48.61,0.70,15.28,161253.94,0.48,30.89,0
45,sam vokes,FW,179746,22.36,1301.54,0.41,-3.06,1.15,1458334.38,47.68,50.91,46.17,46.76,38.22,44.45,26.46,53.95,0.89,19.97,143925.53,0.52,81.46,0
46,ben sahar,"FW,MF",179960,15.22,810.97,3.88,2.36,5.09,513333.02,48.28,51.75,56.18,49.45,41.83,51.54,19.21,39.95,0.68,6.33,23697.61,1.21,19.69,0
47,bjorn kopplin,DF,180174,8.83,563.39,0.00,0.23,0.23,314999.53,45.02,48.48,56.94,25.90,41.30,44.80,45.02,47.60,-0.01,1.53,2022.21,0.19,2.08,0
48,mike vanhamel,GK,180337,6.63,646.85,0.00,0.00,0.00,221667.02,20.48,23.23,20.50,22.50,20.05,21.87,11.93,19.35,0.70,5.15,38866.12,0.92,33.95,0
49,craig cathcart,DF,180706,19.73,1676.45,2.11,5.06,3.02,758333.14,47.12,50.11,46.90,20.30,36.62,37.32,47.12,49.00,0.88,18.43,145844.39,0.94,65.97,0
50,damien marcq,"DF,MF",181436,20.16,1569.59,0.00,0.10,0.10,560000.76,45.76,48.47,44.32,23.10,40.85,41.50,45.98,50.39,0.72,12.46,53214.74,1.29,14.27,0
51,dale stephens,MF,182184,15.85,1273.28,1.63,-3.79,2.09,711667.27,45.76,47.15,45.75,40.65,46.46,44.37,36.92,47.87,0.79,24.30,95453.69,0.91,79.60,0
52,mark beevers,DF,182209,23.94,2135.81,-3.53,-3.53,-3.66,501666.61,46.23,48.31,37.58,26.32,30.44,32.14,46.46,51.19,0.55,10.06,13667.92,0.80,8.03,0
53,zhang chengdong,"DF,FW",182409,2.76,247.00,0.00,0.00,0.00,396667.15,31.81,33.85,34.67,30.88,26.81,31.64,13.51,32.77,0.76,3.23,37177.50,4.33,16.48,0
54,joe mattock,"DF,MF",182694,14.47,968.59,0.47,0.00,0.47,291666.47,45.28,49.66,50.93,27.49,41.33,42.26,44.81,45.53,0.98,10.92,34873.88,0.41,22.77,0
55,kazenga lualua,"FW,MF",182837,20.91,966.54,1.66,2.33,4.18,513333.93,49.00,52.06,61.60,47.86,41.30,50.87,22.17,46.21,0.83,19.04,100491.42,1.01,16.37,0
56,georges mandjeck,"DF,MF",183382,14.20,1065.95,0.23,0.47,0.70,816666.12,46.61,49.66,50.61,31.25,41.96,45.46,46.37,50.85,0.70,5.68,32044.02,1.59,9.86,0
57,david pollet,FW,183392,12.77,971.15,5.77,1.30,6.43,1050000.35,48.31,49.69,49.44,49.96,33.60,41.46,21.00,48.30,0.87,13.50,93809.88,0.47,16.53,0
58,james henry,"FW,MF",183442,18.01,1234.97,2.33,1.50,4.16,700000.00,48.79,52.01,53.43,46.95,48.31,48.80,27.30,43.97,0.97,23.57,21175926.04,0.97,775.75,0
59,prince oniangue,"DF,MF",183453,22.28,1753.40,4.18,1.76,5.70,1843334.51,48.88,51.83,46.82,47.50,43.57,47.22,48.86,55.08,0.74,18.78,376491.74,0.69,205.51,0
60,vincenzo rennella,FW,183488,23.83,1427.27,5.93,2.11,7.34,863333.99,48.13,51.36,45.60,49.77,36.02,49.08,22.89,45.99,0.71,22.28,51354.00,1.01,29.48,0
61,fran merida,MF,183520,16.18,1166.52,2.10,-2.59,2.90,501666.92,48.57,53.62,49.17,46.93,51.38,50.88,33.85,48.51,0.69,18.95,233219.95,0.21,21.80,0
62,shane lowry,DF,183524,22.05,1879.81,-3.76,-3.89,-4.01,291666.07,46.02,50.36,43.75,23.21,38.38,40.04,45.68,53.97,0.69,18.28,102465.43,1.08,68.98,0
63,jay spearing,MF,183527,21.85,1927.17,0.57,1.49,3.00,1574999.53,48.73,51.25,49.00,42.70,47.09,49.21,49.91,51.10,0.80,27.48,255950.32,0.83,165.44,0
64,jonathan hogg,MF,183546,22.54,1723.03,0.00,1.40,1.40,688333.58,48.02,51.27,52.74,40.76,44.76,48.51,47.60,51.79,0.86,6.34,514950.47,0.72,25.87,0
65,dominique malonga,FW,183660,20.37,1271.11,6.76,2.11,8.02,361665.95,23.38,25.88,24.48,22.94,17.76,22.46,9.04,25.62,0.94,26.76,95537.50,1.07,59.18,0
66,christopher drazan,MF,183662,3.59,81.31,0.00,-3.53,-3.53,256666.22,8.23,9.78,13.34,7.35,7.13,8.23,-1.91,8.45,0.71,16.07,97460.96,1.15,25.21,0
67,martyn waghorn,"FW,MF",183706,11.40,423.77,1.40,0.01,2.20,886666.32,45.75,48.96,51.58,44.59,39.68,45.54,20.78,49.00,0.74,24.86,192502.10,0.91,86.30,0
68,georg margreitter,"DF,MF",183795,5.71,199.49,0.00,0.00,0.00,699998.20,44.35,46.41,41.50,23.10,26.60,34.30,43.65,54.84,0.70,4.68,14060.90,-0.18,6.26,0
69,distel zola,MF,183804,12.77,1000.31,-3.76,0.00,-3.76,373333.33,44.59,49.22,46.90,22.40,39.90,35.25,41.10,51.61,0.65,18.13,71869.56,0.88,40.28,0
70,rolf feltscher,DF,183819,7.33,605.99,0.00,4.23,4.23,2216666.51,45.28,50.11,48.55,29.85,39.45,39.95,45.54,51.15,0.64,24.59,30399.32,0.79,331.65,0
71,aaron niguez,"FW,MF",183853,16.22,766.59,0.47,-0.01,0.80,863333.49,47.88,51.82,55.50,45.07,43.02,52.74,25.46,37.83,0.64,14.19,65104.33,0.33,31.26,0
72,thiemo-jerome kialka,FW,183865,0.39,279.14,0.70,0.47,1.17,110833.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,6.62,4738.35,0.69,8.67,0
73,jeffrey sarpong,MF,183939,17.23,1089.59,1.76,7.48,4.94,431666.82,46.86,48.46,55.48,38.50,41.75,51.10,20.30,40.80,1.02,1.85,9563.87,1.64,5.00,0
74,loic nestor,DF,183973,22.30,1989.07,-4.12,2.59,2.11,548333.39,44.57,48.26,52.46,27.30,36.45,34.05,44.76,49.31,0.70,20.46,100439.48,0.86,54.95,0
75,kevin bru,MF,184266,19.13,1279.48,0.34,5.87,2.46,373333.68,43.48,47.43,43.75,31.47,43.73,46.20,34.26,48.30,0.75,8.49,27767.69,0.91,7.69,0
76,younousse sankhare,MF,184271,14.48,1061.24,5.64,5.64,6.94,1808333.68,49.77,53.71,50.07,40.15,47.64,49.95,46.77,52.10,0.85,12.27,128880.08,0.98,115.90,0
77,kevin wolze,"DF,MF",184273,19.02,1475.53,1.87,7.41,4.93,309166.58,30.61,33.60,36.84,28.06,28.96,30.83,27.87,33.58,0.67,21.91,49228.16,0.81,11.80,0
78,jay simpson,"FW,MF",184300,27.11,1758.05,9.63,1.72,11.57,559998.86,45.94,48.02,55.04,44.99,35.70,48.52,18.90,45.94,0.70,17.44,50424.95,1.14,56.87,0
79,jay emmanuel-thomas,"FW,MF",184301,26.09,1358.74,7.37,3.75,10.06,489999.40,47.13,51.57,53.18,48.05,42.96,46.63,28.24,50.13,0.80,23.80,121594.59,0.97,89.18,0
